store code	id	availability	quantity	price
00758851704873241325	081364363734	in_stock	6	39.00 HKD
00758851704873241325	1210001216891	in_stock	6	39.00 HKD
00758851704873241325	3701429824211	in_stock	5	149.00 HKD
00758851704873241325	3701429829360	in_stock	9	149.00 HKD
00758851704873241325	3701429838348	in_stock	5	349.00 HKD
00758851704873241325	3701429838812	in_stock	8	149.00 HKD
00758851704873241325	4525636285769	in_stock	15	38.00 HKD
00758851704873241325	4525636300721	in_stock	8	38.00 HKD
00758851704873241325	4525636313882	in_stock	11	39.00 HKD
00758851704873241325	4525636313912	in_stock	16	39.00 HKD
00758851704873241325	4525636313929	in_stock	6	39.00 HKD
00758851704873241325	4525636313936	in_stock	9	39.00 HKD
00758851704873241325	4525636313943	in_stock	9	39.00 HKD
00758851704873241325	4525636321139	in_stock	3	38.00 HKD
00758851704873241325	4525636337826	in_stock	11	39.00 HKD
00758851704873241325	4525636337833	in_stock	6	39.00 HKD
00758851704873241325	4525636337857	in_stock	6	39.00 HKD
00758851704873241325	4525636344633	in_stock	18	89.00 HKD
00758851704873241325	4525636344718	in_stock	12	39.00 HKD
00758851704873241325	4525636344725	in_stock	7	39.00 HKD
00758851704873241325	4525636344732	in_stock	7	39.00 HKD
00758851704873241325	4525636344909	in_stock	12	39.00 HKD
00758851704873241325	4525636344916	in_stock	9	39.00 HKD
00758851704873241325	4525636344923	in_stock	10	39.00 HKD
00758851704873241325	4525636344947	in_stock	11	39.00 HKD
00758851704873241325	4525636345326	in_stock	10	39.00 HKD
00758851704873241325	4525636345333	in_stock	8	39.00 HKD
00758851704873241325	4525636349355	in_stock	8	39.00 HKD
00758851704873241325	4525636349362	in_stock	8	39.00 HKD
00758851704873241325	4528870435402	in_stock	8	138.00 HKD
00758851704873241325	4528870439509	in_stock	7	138.00 HKD
00758851704873241325	4535304275831	in_stock	14	65.00 HKD
00758851704873241325	4535304282860	in_stock	4	25.00 HKD
00758851704873241325	4535304282877	in_stock	16	65.00 HKD
00758851704873241325	4535304287506	in_stock	6	25.00 HKD
00758851704873241325	4535304287513	in_stock	6	65.00 HKD
00758851704873241325	4535304287568	in_stock	6	158.00 HKD
